School Year,Location Name,Location Code,Borough,Geographical District Code,Register,Building Name,# Schools,NYPD Site Code,NYPD Site Name,Schools in Building,Major N,Oth N,NoCrim N,Prop N,Vio N,ENGroupA,RangeA,AvgOfMajor N,AvgOfOth N,AvgOfNoCrim N,AvgOfProp N,AvgOfVio N,Geocode,Postcode,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
2016 - 17,"Science Skills Center High School for Science, Tec",K419,K,13,268,49 FLATBUSH AVENUE EXTENSION CONSOLIDATED LOCATION,3,232,PS 133K,"Urban Assembly High School of Music and Art |  Science Skills Center High School for Science, Tec |  Brooklyn International High School |  49 FLATBUSH AVENUE EXTENSION CONSOLIDATED LOCATION",N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"49 FLATBUSH AVENUE\n(40.697187, -73.984992)",11201,40.697339,-73.985016,2,33,15,3000216,3001200020,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
2016 - 17,Eagle Academy for Young Men of Harlem,M148,M,5,354,293 EAST BROADWAY CONSOLIDATED LOCATION,1,658,IS 131M,P.S. 134 Henrietta Szold |  293 EAST BROADWAY CONSOLIDATED LOCATION,0,0,3,0,0,3C,251-500,0.27,0.9,1.67,0.63,0.44,"6 EDGECOMBE AVENUE\n(40.817202, -73.947815)",10030,40.817372,-73.947712,10,9,22102,1059460,1019600001,Central Harlem North-Polo Grounds
2016 - 17,Mott Hall Bridges Academy,K671,K,23,693,210 CHESTER STREET CONSOLIDATED LOCATION,2,170,IS 259K,P.S./I.S. 323 |  Mott Hall Bridges Academy |  210 CHESTER STREET CONSOLIDATED LOCATION,1,2,4,1,1,4C,501-750,0.28,1.11,1.74,0.75,0.53,"210 CHESTER STREET\n(28.577485, -81.744494)",11212,40.666545,-73.910904,16,41,924,3081442,3035420001,Brownsville
2016 - 17,P.S. 333 Manhattan School for Children,M333,M,3,223,154 WEST  93 STREET CONSOLIDATED LOCATION,3,692,PS 116M,M.S. 256 Academic & Athletic Excellence |  Community Action School - MS 258 |  P.S. 333 Manhattan School for Children |  154 WEST  93 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A,"154 WEST 93 STREET\n(33.951918, -118.276016)",10025,40.791728,-73.970845,7,6,177,1032522,1012230005,Upper West Side
2016 - 17,P.S. 048 Mapleton,K048,K,20,590,,1,70,PS 046K,P.S. 048 Mapleton,0,0,0,0,0,4C,501-750,0.28,1.11,1.74,0.75,0.53,"6015 18 AVENUE\n(42.8745, -85.82662)",11204,40.621871,-73.987396,12,44,244,3132140,3055190001,Borough Park
2016 - 17,590 SHEFFIELD AVENUE CONSOLIDATED LOCATION,K190,K,19,160,590 SHEFFIELD AVENUE CONSOLIDATED LOCATION,2,248,PS 185K,P.S. 190 Sheffield |  Essence School |  590 SHEFFIELD AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A,"590 SHEFFIELD AVENUE\n(38.581638, -90.372987)",11207,40.662326,-73.894441,5,42,1128,3085491,3038380018,East New York (Pennsylvania Ave)
2016 - 17,The River School,M281,M,2,402,55 BATTERY PLACE CONSOLIDATED LOCATION,2,547,IS 223/PS 223 MOTT HALL,P.S. M094 |  BATTERY PARK CITY SCHOOL |  55 BATTERY PLACE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"425 EAST 35TH STREET\n(29.818058, -95.39352)",10016,40.74428,-73.972591,6,4,8601,1089385,1009670002,Turtle Bay-East Midtown
2016 - 17,ESPERANZA PREPARATORY ACADEMY,M372,M,4,569,240 EAST 109 STREET CONSOLIDATED LOCATION,2,597,PS 112M,Tag Young Scholars |  ESPERANZA PREPARATORY ACADEMY |  240 EAST 109 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,4C,501-750,N/A,N/A,N/A,N/A,N/A,"240 EAST 109 STREET\n(42.938054, -78.902013)",10029,40.79307,-73.942303,11,8,170,1052433,1016560100,East Harlem South
2016 - 17,South Brooklyn Community High School,K698,K,15,105,,2,8,BROOKLYN INTERNATIONAL HS,W.E.B. Dubois Academic High School I W.E.B. Dubois YABC,0,2,2,2,0,2C,1-250,0.24,0.71,1.71,0.51,0.32,"173 CONOVER STREET\n(40.67801, -74.014327)",11231,40.677969,-74.014363,6,38,53,3398190,3005750003,Carroll Gardens-Columbia Street-Red Hook
2016 - 17,319 EAST 19 STREET CONSOLIDATED LOCATION,M040,M,2,390,319 EAST 19 STREET CONSOLIDATED LOCATION,2,578,PS 030M,P.S. 040 Augustus Saint-Gaudens |  M.S. 255 Salk School of Science |  319 EAST 19 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"319 EAST 19 STREET\n(43.480787, -112.028008)",10003,40.735161,-73.982027,6,2,64,1020513,1009250012,Gramercy
2016 - 17,Mott Hall IV,K522,K,23,1123,1137 HERKIMER STREET CONSOLIDATED LOCATION,3,287,PS 269K,Mott Hall IV |  Eagle Academy for Young Men II |Ocean Hill Collegiate Charter School |1137 HERKIMER STREET CONSOLIDATED LOCATION,0,3,2,2,1,6C,1001-1250,0.57,2.12,3.64,1.39,1.05,"1137 HERKIMER STREET\n(29.791239, -95.406189)",11233,40.677805,-73.915843,16,41,301,3042157,3015500001,Ocean Hill
2016 - 17,P.S. 284 Lew Wallace,K284,K,23,821,,1,290,PS 277K,P.S. 282 Park Slope,0,1,7,0,1,5C,751-1000,0.38,1.71,2.38,0.98,0.82,"213 OSBORN STREET\n(41.692022, -71.166289)",11212,40.667377,-73.908214,16,41,912,3081460,3035440135,Brownsville
2016 - 17,LEADERSHIP PREP BEDFORD STUYVESANT CHARTER SCHOOL(BN),K517,K,13,1399,141 MACON STREET CONSOLIDATED LOCATION,2,284,PS 254K,P.S. K140|Leadership Prep Bedford Stuyvesant Charter School|141 MACON STREET CONSOLIDATED LOCATION,0,1,7,0,1,7C,1251-1500,0.64,3.02,5.77,1.72,1.54,"141 MACON STREET\n(35.200279, -83.820244)",11216,40.681572,-73.945446,3,36,269,3053075,3018450001,Bedford
2016 - 17,IS 364 ANNEX(BN),K364,K,19,284,,1,233,PS 134K,Bushwick Leaders High School for Academic Excellence,0,3,12,1,0,3C,251-500,0.27,0.9,1.67,0.63,0.44,"1461 GENEVA LOOP\n(40.64634, -73.878219)",11239,40.646599,-73.878441,5,42,105801,3098300,3044520325,Starrett City
2016 - 17,424 LEONARD STREET CONSOLIDATED LOCATION,K126,K,14,393,424 LEONARD STREET CONSOLIDATED LOCATION,3,227,PS 124K,John Ericsson Middle School 126| Citizens of the World Charter School 1 Williamsbur| Northside Charter High School| 424 LEONARD STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"424 LEONARD STREET\n(43.08847, -75.659267)",11222,40.719819,-73.948625,1,33,499,3067788,3027120001,Greenpoint
2016 - 17,The Math & Science Exploratory School,K447,K,15,1777,257 NORTH  6 STREET CONSOLIDATED LOCATION,3,141,TRANSIT TECH HS,Brooklyn Preparatory High School |  Williamsburg High School for Architecture and Desi |  Williamsburg Preparatory School |  257 NORTH  6 STREET CONSOLIDATED LOCATION,1,13,20,7,4,9C,1751-2000,0.9,3.5,7.25,2.55,1.45,"345 DEAN STREET\n(31.226762, -84.221511)",11217,40.683559,-73.98027,2,33,39,3001190,3001920013,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
2016 - 17,Brooklyn School for Global Studies,K429,K,15,469,284 BALTIC STREET CONSOLIDATED LOCATION,3,26,IS 291K,Brooklyn School for Global Studies | Success Academy C harter School- Cobble Hill |   School for International Studies |  284 BALTIC STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"284 BALTIC STREET\n(38.085385, -122.230439)",11201,40.685419,-73.993351,6,33,69,3006401,3004020001,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
2016 - 17,170 GATES AVENUE CONSOLIDATED LOCATION,K056,K,13,344,170 GATES AVENUE CONSOLIDATED LOCATION,2,20,IS 055K,P.S. 056 Lewis H. Latimer|  The Urban Assembly Unison School |  170 GATES AVENUE CONSOLIDATED LOCATION,0,4,2,1,3,3C,251-500,0.27,0.9,1.67,0.63,0.44,"170 GATES AVENUE\n(40.807968, -74.227247)",11238,40.68505,-73.960659,2,35,231,3056874,3019830010,Clinton Hill
2016 - 17,P.S. 139 Alexine A. Fenty,K139,K,22,583,,1,90,PS 137K,P.S. 138 Brooklyn,0,0,1,0,0,4C,501-750,0.28,1.11,1.74,0.75,0.53,"330 RUGBY ROAD\n(43.067377, -76.126816)",11226,40.641937,-73.965523,14,40,1522,3328235,3051440064,Flatbush
2016 - 17,HARLEM VILLAGE ACADEMY CHARTER SCHOOL,M709,M,5,246,500 WEST 138 STREET CONSOLIDATED LOCATION,3,626,PS 187M,P.S. 192 Jacob H. Schiff| Hamilton Grange Middle School| P.S. 325| 500 WEST 138 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A,"244 WEST 144 STREET\n(41.993153, -71.341312)",10030,40.821535,-73.940941,10,9,232,1060432,1020290011,Central Harlem North-Polo Grounds
2016 - 17,P.S. 110 The Monitor,K110,K,14,505,,1,84,PS 108K,P.S. 110 The Monitor,0,0,0,0,0,4C,501-750,0.28,1.11,1.74,0.75,0.53,"124 MONITOR STREET\n(40.723655, -73.942275)",11222,40.723897,-73.942312,1,33,591,3067144,3026880042,Greenpoint
2016 - 17,Sunset Park Avenues Elementary School,K516,K,15,1327,51 CHRISTOPHER AVENUE CONSOLIDATED LOCATION,2,1139,PS 328 Phyllis Wheatley, Christopher Avenue Community School |Leadership Preparatory Ocean Hill Charter School  | 51 CHRISTOPHER AVENUE CONSOLIDATED LOCATION,0,1,0,1,0,7C,1251-1500,0.64,3.02,5.77,1.72,1.54,"4222 4th Avenue\n(38.548289, -121.457458)",11232,40.650785,-74.008105,7,38,82,3337158,3007230025,Sunset Park West
2016 - 17,223 EAST 23 STREET CONSOLIDATED LOCATION,M047,M,2,195,223 EAST 23 STREET CONSOLIDATED LOCATION,2,550,JHS 044M,47 The American Sign Language and English Secondar |  The 47 American Sign Language & English Lower Scho |  223 EAST 23 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A,"223 EAST 23 STREET\n(29.999634, -90.268991)",10010,40.738548,-73.982455,6,2,64,NaN,NaN,Gramercy
2016 - 17,P.S. 230 Doris L. Cohen,K230,K,15,1240,,1,270,PS 225K,P.S. 229 Dyker,0,0,0,0,0,6C,1001-1250,0.57,2.12,3.64,1.39,1.05,"1 ALBEMARLE ROAD\n(40.416711, -74.378387)",11218,40.645017,-73.980761,12,39,498,3124109,3053230032,Kensington-Ocean Parkway
2016 - 17,4600 BROADWAY CONSOLIDATED LOCATION,M218,M,6,198,4600 BROADWAY CONSOLIDATED LOCATION,3,1065,PS 206M,I.S. 218 Salome Urena |  City College Academy of the Arts |  Middle School 322 |  4600 BROADWAY CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A,"4600 BROADWAY\n(37.706452, -121.084239)",10040,40.86079,-73.930672,12,10,285,1076756,1021720016,Washington Heights North
2016 - 17,293 EAST BROADWAY CONSOLIDATED LOCATION,M134,M,1,218,,1,658,IS 131M,P.S. 133 Fred R Moore,0,0,1,0,0,2C,1-250,0.24,0.71,1.71,0.51,0.32,"293 EAST BROADWAY\n(46.378574, -96.122022)",10002,40.71457,-73.983724,3,1,202,1003736,1002880015,Lower East Side
2016 - 17,Fort Greene Preparatory Academy,K691,K,13,218,100 CLERMONT AVENUE CONSOLIDATED LOCATION,2,69,PS 045K,P.S. 046 Edward C. Blum |  Fort Greene Preparatory Academy |  100 CLERMONT AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A,"100 CLERMONT AVENUE\n(40.694593, -73.971146)",11205,40.694633,-73.971165,2,35,187,3058088,3020450011,Fort Greene
2016 - 17,P.S. 241 Emma L. Johnston,K241,K,17,791,,1,1401,The Academy of Talented Scholars,Andries Hudde,0,5,6,2,2,5C,751-1000,0.38,1.71,2.38,0.98,0.82,"976 PRESIDENT STREET\n(41.878688, -88.464827)",11225,40.669339,-73.960675,9,35,213,3378160,3011880001,Crown Heights South
2016 - 17,134 WEST 122 STREET CONSOLIDATED LOCATION,M144,M,3,379,134 WEST 122 STREET CONSOLIDATED LOCATION,2,697,PS 140M,P.S. 242 - The Young Diplomats Magnet Academy |  Future Leaders Institute Charter School |  134 WEST 122 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"134 WEST 122 STREET\n(42.256066, -72.251068)",10027,40.8063,-73.948013,10,9,220,1057683,1019060011,Central Harlem South
2016 - 17,M.S. M247 Dual Language Middle School,M247,M,3,565,32 WEST  92 STREET CONSOLIDATED LOCATION,2,587,PS 076M,P.S. 084 Lillian Weber |  M.S. M247 Dual Language Middle School |  32 WEST  92 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,4C,501-750,N/A,N/A,N/A,N/A,N/A,"32 WEST 92 STREET\n(39.605645, -74.210596)",10025,40.789526,-73.967574,7,6,177,1081042,1012050006,Upper West Side
2016 - 17,2351 1ST AVENUE CONSOLIDATED LOCATION,M045,M,4,161,2351 1ST AVENUE CONSOLIDATED LOCATION,2,559,JHS 172M,Coalition School for Social Change|Harlem Village Academy Leadership Charter School|2351 1ST AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A,"2351 1ST AVENUE\n(39.478451, -87.38128)",10035,40.798884,-73.933319,11,8,194,1054786,1017970100,East Harlem North
2016 - 17,P.S. 034 Franklin D. Roosevelt,M034,M,1,622,,1,577,PS 028M,P.S. 033 Chelsea Prep,0,1,1,0,1,4C,501-750,0.28,1.11,1.74,0.75,0.53,"730 EAST 12 STREET\n(37.793153, -122.252624)",10009,40.726473,-73.975181,3,2,28,1004564,1003810038,Lower East Side
2016 - 17,Brooklyn High School for Law and Technology,K498,K,16,374,,1,1,ACORN COMMUNITY HS,"School of Math, Science, and Healthy Living",0,0,0,0,0,3C,251-500,0.27,0.9,1.67,0.63,0.44,"1396 BROADWAY\n(40.688656, -73.920583)",11221,40.688831,-73.920906,3,41,375,3039676,3014820001,Stuyvesant Heights
2016 - 17,Brooklyn Secondary School for Collaborative Studie,K448,K,15,1333,610 HENRY STREET CONSOLIDATED LOCATION,2,234,PS 139K,P.S. 146 |  Brooklyn Secondary School for Collaborative Studie |  610 HENRY STREET CONSOLIDATED LOCATION,2,4,2,4,2,7C,1251-1500,0.64,3.02,5.77,1.72,1.54,"610 HENRY STREET\n(33.366783, -79.298995)",11231,40.68007,-74.001377,6,39,63,3336036,3003690001,Carroll Gardens-Columbia Street-Red Hook
2016 - 17,P.S. K721 - Brooklyn Occupational Training Center,K721,K,21,926,,1,17,HARRY VAN ARSDALE HS,Brooklyn Studio Secondary School,0,0,3,0,0,5C,751-1000,0.38,1.71,2.38,0.98,0.82,"64 AVENUE\n(40.589327, -73.981271)",11223,40.589317,-73.98131,13,47,308,3385667,3071850020,Gravesend
2016 - 17,P.S. 019 Asher Levy,M019,M,1,919,328 WEST  48 STREET CONSOLIDATED LOCATION,2,549,JHS 013M,P.S. 212 Midtown West |  Professional Performing Arts High School |  328 WEST  48 STREET CONSOLIDATED LOCATION,1,0,1,1,0,5C,751-1000,0.38,1.71,2.38,0.98,0.82,"185 1 AVENUE\n(43.541643, -95.470144)",10003,40.729636,-73.983818,3,2,40,1006478,1004530034,East Village
2016 - 17,J.H.S. 383 Philippa Schuyler,K383,K,32,584,,1,299,PS 371K,P.S. 380 John Wayne Elementary,0,0,2,0,0,4C,501-750,0.28,1.11,1.74,0.75,0.53,"1300 GREENE AVENUE\n(40.698104, -73.91946)",11237,40.697781,-73.919777,4,37,431,3075413,3032980001,Bushwick North
2016 - 17,P.S. 050 Vito Marcantonio,M050,M,4,579,,1,551,MS 45-STARS Prep Academy,P.S. 048 P.O. Michael J. Buczek,1,0,0,1,0,4C,501-750,0.28,1.11,1.74,0.75,0.53,"433 EAST 100 STREET\n(40.785258, -73.941573)",10029,40.785258,-73.941526,11,8,162,1083933,1016940001,East Harlem South
2016 - 17,"Heritage School, The",M680,M,4,1145,,1,554,JHS 099M,J.H.S. 104 Simon Baruch,0,4,1,1,3,6C,1001-1250,0.57,2.12,3.64,1.39,1.05,"1680 LEXINGTON AVENUE\n(40.791882, -73.946541)",10029,40.791881,-73.946558,11,8,172,1051991,1016330013,East Harlem South
2016 - 17,787 LAFAYETTE AVENUE CONSOLIDATED LOCATION,K025,K,16,228,787 LAFAYETTE AVENUE CONSOLIDATED LOCATION,2,202,PS 024K,P.S. 025 Eubie Blake School |  Success Academy Charter School - Bed Stuy 3 |  787 LAFAYETTE AVENUE CONSOLIDATED LOCATION,0,0,6,0,0,2C,1-250,0.24,0.71,1.71,0.51,0.32,"787 LAFAYETTE AVENUE\n(40.809311, -75.597174)",11221,40.691037,-73.941342,3,36,281,3049858,3017870014,Stuyvesant Heights
2016 - 17,26 BROADWAY CONSOLIDATED LOCATION,M282,M,2,275,26 BROADWAY CONSOLIDATED LOCATION,3,637,PS/MS 217M,Richard R. Green High School of Teaching |  Lower Manhattan Community Middle School |  26 BROADWAY CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"26 BROADWAY\n(42.936401, -74.21444)",10004,40.70568,-74.013302,1,1,9,1000811,1000220013,Battery Park City-Lower Manhattan
2016 - 17,219 EAST 109 STREET CONSOLIDATED LOCATION,M083,M,4,349,219 EAST 109 STREET CONSOLIDATED LOCATION,2,586,PS 075M,P.S. 083 Luis Munoz Rivera |  The Bilingual Bicultural School |  219 EAST 109 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"219 EAST 109 STREET\n(37.28798, -76.77001)",10029,40.793194,-73.942548,11,8,180,1052436,1016590012,East Harlem North
2016 - 17,The SEEALL Academy,K180,K,20,913,,1,245,PS 177K,P.S. 179 Kensington,0,0,1,0,0,5C,751-1000,0.38,1.71,2.38,0.98,0.82,"5601 16 AVENUE\n(32.818497, -85.168805)",11204,40.627029,-73.989672,12,44,470,3130809,3054920001,Borough Park
2016 - 17,1137 HERKIMER STREET CONSOLIDATED LOCATION,K271,K,23,418,241 EMERSON PLACE CONSOLIDATED LOCATION,2,1433,PS 264 Bay Ridge Elementary School for the Arts,P.S. 270 Johann DeKalb | Community Partnership Charter School | 241 EMERSON PLACE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"1137 HERKIMER STREET\n(29.791239, -95.406189)",11233,40.677805,-73.915843,16,41,301,3042157,3015500001,Ocean Hill
2016 - 17,P.S. 008 Luis Belliard,M008,M,6,509,160 EAST 120 STREET CONSOLIDATED LOCATION,2,676,PS 002M,P.S. 007 Samuel Stern |  Global Technology Preparatory |  160 EAST 120 STREET CONSOLIDATED LOCATION,2,1,2,3,0,4C,501-750,0.28,1.11,1.74,0.75,0.53,"465 WEST 167 STREET\n(41.375544, -93.744248)",10032,40.838954,-73.936838,12,10,249,1081842,1021120001,Washington Heights South
2016 - 17,Manhattan / Hunter Science High School,M541,M,3,408,122 AMSTERDAM AVENUE CONSOLIDATED LOCATION,5,537,FIORELLO LAGUARDIA HS,"High School for Arts, Imagination and Inquiry |  Urban Assembly School for Media Studies, The |  High School for Law, Advocacy and Community Justic |  High School of Arts and Technology |  Manhattan / Hunter Science High School |  122 AMSTERDAM AVENUE CONSOLIDATED LOCATION",N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"122 AMSTERDAM AVENUE\n(39.861285, -75.293179)",10023,40.774351,-73.984753,7,6,151,1030343,1011570025,Lincoln Square
2016 - 17,P.S. 015 Roberto Clemente,M015,M,1,1443,1573 MADISON AVENUE CONSOLIDATED LOCATION,4,575,PS 009M,Central Park East I|  Central Park East High School|  East Harlem Scholars Academy Charter School II|  East Harlem Scholars Academy Charter School|  1573 MADISON AVENUE CONSOLIDATED LOCATION,0,1,1,1,0,6C,1001-1250,0.57,2.12,3.64,1.39,1.05,"333 EAST 4 STREET\n(39.401034, -81.438707)",10009,40.721807,-73.979022,3,2,2601,1004415,1003740020,Lower East Side
2016 - 17,P.S. 153 Adam Clayton Powell,M153,M,6,588,,1,1054,PS 144M,P.S. 152 Dyckman Valley,0,0,0,0,0,4C,501-750,0.28,1.11,1.74,0.75,0.53,"1750 AMSTERDAM AVENUE\n(40.675876, -73.566264)",10031,40.826295,-73.946845,9,7,233,1081834,1020780019,Hamilton Heights
2016 - 17,Innovation Diploma Plus,M404,M,3,1921,549 AUDUBON AVENUE CONSOLIDATED LOCATION,5,709,WASHINGTON IRVING HS,George Washington Yabc |  The College Academy |  High School for Media and Communications |  High School for Law and Public Service |  High School for Health Careers and Sciences |  549 AUDUBON AVENUE CONSOLIDATED LOCATION,6,15,24,7,12,9C,1751-2000,0.9,3.5,7.25,2.55,1.45,"145 WEST 84 STREET\n(40.785643, -73.974264)",10024,40.785803,-73.974614,7,6,169,1032128,1012150001,Upper West Side
2016 - 17,P.S. 108 Assemblyman Angelo Del Toro Educational C,M108,M,4,321,,1,554,JHS 099M,"Heritage School, The",0,4,1,1,2,3C,251-500,0.27,0.9,1.67,0.63,0.44,"1615 MADISON AVENUE\n(40.795232, -73.94832)",10029,40.795146,-73.948368,11,8,17401,1051584,1016140021,East Harlem South
2016 - 17,J.H.S. 223 The Montauk,K223,K,20,911,,1,24,IS 218K,P.S. 222 Katherine R. Snyder,0,0,0,0,0,5C,751-1000,0.38,1.71,2.38,0.98,0.82,"4200 16 AVENUE\n(42.343103, -83.085748)",11204,40.634875,-73.981528,12,44,230,3125676,3053620021,Borough Park
2016 - 17,Rachel Carson High School for Coastal Studies,K344,K,21,503,521 WEST AVENUE CONSOLIDATED LOCATION,3,28,IS 302K,I.S. 303 Herbert S. Eisenberg | Coney Island Preparatory Public Charter School |Rachel Carson High School for Coastal Studies |  521 WEST AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,4C,501-750,N/A,N/A,N/A,N/A,N/A,"521 WEST AVENUE\n(38.576706, -90.116933)",11224,40.582533,-73.973132,13,47,354,3196292,3072500025,West Brighton
2016 - 17,5601 16 AVENUE CONSOLIDATED LOCATION,K180,K,20,1160,5601 16 AVENUE CONSOLIDATED LOCATION,2,101,PS 178K,The SEEALL Academy |  P.S. K231 |  5601 16 AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,6C,1001-1250,N/A,N/A,N/A,N/A,N/A,"5601 16 AVENUE\n(32.818497, -85.168805)",11204,40.627029,-73.989672,12,44,470,3130809,3054920001,Borough Park
2016 - 17,J.H.S. 234 Arthur W. Cunningham,K234,K,22,479,,1,168,IS 232K,P.S. 233 Langston Hughes,0,1,0,1,0,3C,251-500,0.27,0.9,1.67,0.63,0.44,"1875 EAST 17 STREET\n(36.138016, -95.962752)",11229,40.60422,-73.955485,15,48,558,3184057,3068210244,Madison
2016 - 17,M.S. 584,K584,K,16,281,130 ROCHESTER AVENUE CONSOLIDATED LOCATION,2,154,IS 030K,P.S. 335 Granville T. Woods |  M.S. 584 |  130 ROCHESTER AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"130 ROCHESTER AVENUE\n(40.588152, -73.702658)",11213,40.674656,-73.927794,8,36,307,3035887,3013550023,Crown Heights North
2016 - 17,Academy of Innovative Technology,K618,K,19,202,999 JAMAICA AVENUE CONSOLIDATED LOCATION,5,315,SAMUEL J. TILDEN HS,Multicultural High School |Academy of Innovative Technology |Brooklyn Lab School |Cypress Hills Collegiate Preparatory School |The Urban Assembly School for Collaborative Health |999 JAMAICA AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A,"999 JAMAICA AVENUE\n(27.783609, -80.501816)",11208,40.691146,-73.868328,5,37,1180,3090738,3040940001,park-cemetery-etc-Brooklyn
2016 - 17,300 WILLOUGHBY AVENUE CONSOLIDATED LOCATION,K117,K,13,710,300 WILLOUGHBY AVENUE CONSOLIDATED LOCATION,3,86,PS 116K,"Brooklyn Community High School of Communication, A |  Brooklyn Prospect Charter School Downtown |  Brooklyn High School for Leadership and Community |  300 WILLOUGHBY AVENUE CONSOLIDATED LOCATION",3,6,2,5,4,4C,501-750,0.28,1.11,1.74,0.75,0.53,"300 WILLOUGHBY AVENUE\n(58.300349, -134.411862)",11205,40.692642,-73.958794,3,33,235,3055165,3019260010,Clinton Hill
2016 - 17,BROOKLYN URBAN GARDEN CHARTER SCHOOL (BS),K758,K,15,631,,1,1084,BELMONT ACADEMY (BROOKLYN SUSPENSION SITE),BROOKLYN EXCELSIOR CHARTER SCHOOL(BN),0,0,0,0,0,4C,501-750,0.28,1.11,1.74,0.75,0.53,"500 19TH STREET\n(34.417606, -103.210023)",11215,40.656944,-73.983115,7,38,1502,3017307,3008890001,Windsor Terrace
2016 - 17,New Voices School of Academic & Creative Arts,K443,K,15,466,330 18 STREET CONSOLIDATED LOCATION,2,317,SOUTH BROOKLYN COMMUNITY HS,P.S. 295 |  New Voices School of Academic & Creative Arts |  330 18 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"330 18 STREET\n(35.375251, -119.00591)",NaN,,,NaN,NaN,NaN,NaN,NaN,
2016 - 17,Park East High School,M495,M,4,542,122 AMSTERDAM AVENUE CONSOLIDATED LOCATION,5,537,FIORELLO LAGUARDIA HS,"High School for Arts, Imagination and Inquiry |  Urban Assembly School for Media Studies, The |  High School for Law, Advocacy and Community Justic |  High School of Arts and Technology |  Manhattan / Hunter Science High School |  122 AMSTERDAM AVENUE CONSOLIDATED LOCATION",N/A,N/A,N/A,N/A,N/A,4C,501-750,N/A,N/A,N/A,N/A,N/A,"230 EAST 105 STREET\n(42.355193, -73.259232)",10029,40.790543,-73.944356,11,8,170,1075643,1016540033,East Harlem South
2016 - 17,P.S. 098 Shorac Kappock,M098,M,6,548,,1,544,IS 090M,Bard High School Early College,0,0,1,0,0,4C,501-750,0.28,1.11,1.74,0.75,0.53,"512 WEST 212 STREET\n(42.320507, -92.600594)",10034,40.867826,-73.917059,12,10,303,1064871,1022290012,Marble Hill-Inwood
2016 - 17,P.S. 195 Manhattan Beach,K195,K,22,519,,1,103,PS 190K,P.S. 194 Raoul Wallenberg,0,0,3,0,0,4C,501-750,0.28,1.11,1.74,0.75,0.53,"131 IRWIN STREET\n(44.150758, -92.898543)",11235,40.579451,-73.943819,15,48,620,3246519,3087520035,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
